artifact_name,path,exists,rows,columns,column_list
intent_dataset_processed,data\processed\intent_dataset_processed.csv,True,12,21,"utterance_id, utterance, intent_label, bahasa, register, jenjang_user, kelas, minat_keywords, mapel_favorit, hobi_keywords, gaya_belajar, tujuan_karier_keywords, target_program_id, source_type, confidence_label, catatan, utterance_clean, utterance_normalized, utterance_tokens, utterance_preprocessed, utterance_token_count"
program_studi_s1_processed,data\processed\program_studi_s1_processed.csv,True,5,22,"program_id, nama_program_studi, jenjang, rumpun_ilmu, bidang_keilmuan, deskripsi_singkat, minat_cocok, mapel_relevan, hobi_relevan, gaya_belajar_cocok, karakteristik_cocok, tingkat_matematika, tingkat_coding, tingkat_komunikasi, tingkat_desain, prospek_karier_id_list, skill_id_list, keyword_rekomendasi, catatan, program_profile_text_raw, program_profile_text, program_profile_text_token_count"
program_recommender_profiles_stage05,data\processed\program_recommender_profiles_stage05.csv,True,5,25,"program_id, nama_program_studi, jenjang, rumpun_ilmu, bidang_keilmuan, deskripsi_singkat, minat_cocok, mapel_relevan, hobi_relevan, gaya_belajar_cocok, karakteristik_cocok, tingkat_matematika, tingkat_coding, tingkat_komunikasi, tingkat_desain, prospek_karier_id_list, skill_id_list, keyword_rekomendasi, catatan, program_profile_text_raw, program_profile_text, program_profile_text_token_count, mapped_career_text, mapped_career_names, mapped_skill_names"
chatbot_evaluation_metrics_stage07,reports\stage07\chatbot_evaluation_metrics_stage07.csv,True,7,2,"metric, value"
chatbot_intent_summary_stage07,reports\stage07\chatbot_intent_summary_stage07.csv,True,8,5,"expected_intent, total_cases, correct_intent, intent_accuracy, overall_pass_rate"
chatbot_error_analysis_stage07,reports\stage07\chatbot_error_analysis_stage07.csv,True,4,37,"test_id, scenario_group, user_input, expected_intent, final_intent, intent_correct, routing_source, model_predicted_intent, model_confidence, rule_intent, rule_confidence, routing_confidence, min_routing_confidence, confidence_ok, matched_rule_keywords, processed_text, expected_top_program, actual_top_program, top_program_applicable, top_program_correct, expected_contains, expected_not_contains, response_not_empty, contains_ok, not_contains_ok, response_content_ok, overall_pass, strict_pass, response_length_chars, response_text, runtime_error, notes, overall_status, strict_status, error_type, error_severity, improvement_suggestion"
model_comparison_stage04,reports\modeling\model_comparison_stage04.csv,True,3,6,"model, accuracy, precision_weighted, recall_weighted, f1_weighted, f1_macro"
