dataset,feature_column,source_columns,rows,empty_feature
program,program_profile_text,nama_program_studi|jenjang|rumpun_ilmu|bidang_keilmuan|deskripsi_singkat|minat_cocok|mapel_relevan|hobi_relevan|gaya_belajar_cocok|karakteristik_cocok|tingkat_matematika|tingkat_coding|tingkat_komunikasi|tingkat_desain|keyword_rekomendasi,5,0
career,career_profile_text,nama_karier|bidang_karier|deskripsi_singkat|tugas_utama|skill_teknis|skill_non_teknis|tools_umum|prospek_industri|keyword_karier,5,0
skill,skill_profile_text,nama_skill|kategori_skill|deskripsi_singkat|level_awal|prasyarat|sumber_belajar_awal|estimasi_waktu_belajar|keyword_skill,7,0
roadmap,roadmap_profile_text,fase|durasi_rekomendasi|tujuan_fase|materi_pokok|aktivitas_praktik|output_portofolio|tools_umum|indikator_capaian,6,0
